id,Wellbeing score,BuildingHeights,Integration,Flow,PTAL,Casualty,Fuel,Supermarket,Choice
34206,0.364806435,0.044487532,0.11143802,931,0.89828,0.34,5.48337,0,386990
34207,0.36199095,0.055028473,0.153986528,932,0.89837,0.337,5.48012,0,737130
34208,0.333031674,0.059091566,0.137634484,1389,1.16319,0.303,8.80641,0,688744
34209,0.302061337,0.059091566,0.063850022,1144,0.85553,0.163,7.83446,0,168425
34210,0.301256913,0.046149866,0.011994488,1019,0.75471,0.146,7.06624,0,0
34211,0.366817496,0.045236459,0.01501253,1096,1.10825,0.313,6.4726,0,2860
34212,0.444444444,0.045236459,0.030080288,915,1.19753,0.501,5.68044,0,3297
34213,0.444444444,0.036249359,0.061083296,630,0.85717,0.495,5.58558,0,18136
34214,0.444444444,0.090430918,0.046490582,630,0.85717,0.495,5.58558,0,21919
34215,0.444444444,0.090430918,0.053116067,630,0.85717,0.495,5.58558,0,164365
34216,0.444444444,0.070853885,0.017678598,609,0.87248,0.489,5.67688,0,8124
34217,0.404223228,0.070853885,0.051125692,923,1.62089,0.335,8.57038,0,174921
34218,0.38974359,0.044431535,0.051300301,1302,1.87207,0.575,11.28658,0,89050
34219,0.38974359,0.044466535,0.081827939,1791,2.05349,1.151,15.95368,0,21523
34220,0.38974359,0.033386647,0.038500826,1791,2.05349,1.151,15.95368,0,8991
34221,0.38974359,0.036161869,0.084867758,1803,2.01995,1.072,15.80803,0,44723
34222,0.38974359,0.035731408,0.0447529,1885,1.6453,0.388,13.82344,0,22067
34223,0.38974359,0.036770807,0.049498206,1917,1.65253,0.282,14.08352,0,164129
34224,0.38974359,0.038394646,0.197869031,1470,1.47863,1.694,9.93286,0,1826819
34225,0.38974359,0.035433941,0.050205336,1319,1.42032,2.168,8.54271,0,34751
34226,0.39537456,0.036837297,0.120017651,1338,1.39766,1.783,8.57901,0,215204
34227,0.407440925,0.036837297,0.121617623,1019,0.69966,0.687,5.64129,0,201022
34228,0.419909502,0.035307956,0.073743535,482,0.5813,0.278,6.55792,0,80715
34229,0.433584716,0.034622022,0.141804971,89,0.53673,0.088,7.25237,0,160532
34230,0.438411262,0.054986474,0.028475661,0,0.53951,0.084,7.40259,0,819
34231,0.33222725,0.054986474,0.081251054,377,0.46026,0.119,5.60017,0,105888
34232,0.222423328,0.023223668,0,758,0.3799,0.155,3.77357,0,0
34233,0.222423328,0.028518636,0.043568628,602,0.32327,0.168,4.00078,0,5640
34234,0.222423328,0.089856971,0.136555501,1318,0.1279,0.164,5.1766,0,311872
34235,0.222423328,0.033771607,0.012297739,4896,0.17888,0.062,6.3863,0,8
34236,0.222423328,0.033026184,0.056033536,3556,0.15961,0.1,5.93285,0,55379
34237,0.146757164,0.035692913,0.120630492,3498,0.14987,0.169,4.67037,0,140843
34238,0.065962795,0.038793604,0.02491609,3218,0.13667,0.245,3.298,0,0
34239,0.065962795,0.044617021,0.034694796,3125,0.14215,0.25,3.3949,0,10416
34240,0.065962795,0.040879393,0.108767538,2178,0.19845,0.301,4.39299,0,34286
34241,0.114580191,0.053527124,0.054274015,492,0.23755,0.32,5.2117,0,393650
34242,0.199949723,0.029866002,0.052674045,501,0.13019,0.196,3.53069,0,11727
34243,0.199949723,0.035822402,0.01942058,501,0.13019,0.196,3.53069,0,9740
34244,0.199949723,0.035360449,0.077417721,501,0.13019,0.196,3.53069,0,22514
34245,0.188838612,0.034370045,0.051501276,472,0.13404,0.194,3.4932,0,13670
34246,0.105580694,0.040851398,0.02841932,228,0.14795,0.151,2.87498,0,239101
34247,0.133584716,0.034790006,0.040075805,307,0.14281,0.164,3.06605,0,269901
34248,0.174811463,0.034790006,0.029529549,429,0.13488,0.184,3.3575,0,259182
34249,0.178079437,0,0.149720639,465,0.13627,0.171,3.23797,0,714983
34250,0.177677225,0.033631621,0.086987244,472,0.13709,0.166,3.18012,0,106621
34251,0.141830065,0.091368823,0,305,0.10559,0.156,2.12122,0,0
34252,0.086978381,0,0,35,0.05276,0.145,0.43521,0,0
34253,0.086978381,0,0,35,0.05276,0.145,0.43521,0,0
34254,0.086978381,0,0,35,0.05276,0.145,0.43521,0,0
34255,0.086978381,0.053016173,0.01835887,33,0.05133,0.108,0.49289,0,49509
34256,0.086978381,0.054433529,0.021490495,32,0.0501,0.077,0.54206,0,13512
34257,0.086978381,0.104412017,0.041103895,32,0.0501,0.077,0.54206,0,142502
34258,0.086978381,0.104412017,0,32,0.0501,0.077,0.54206,0,0
34259,0.086978381,0.116216329,0,32,0.0501,0.077,0.54206,0,0
34260,0.086978381,0.116216329,0,32,0.0501,0.077,0.54206,0,0
34261,0.086978381,0,0,32,0.0501,0.077,0.54206,0,0
34262,0.090246355,0,0,32,0.0501,0.077,0.54206,0,0
34263,0.121920563,0,0,563,0.21332,0.081,1.49767,0,0
34264,0.121920563,0,0,754,0.27215,0.083,1.84201,0,0
34265,0.121920563,0.045362447,0.005942383,754,0.27215,0.083,1.84201,0,0
34266,0.121920563,0.04109987,0.012975896,754,0.27215,0.083,1.84201,0,2135
34267,0.121920563,0.04109987,0.048487179,743,0.26777,0.084,1.81283,0,136916
34268,0.121920563,0.104929961,0.064163464,1633,0.78561,0.429,2.91587,0,511349
34269,0.121920563,0.105052448,0.017720325,1888,0.9242,0.504,3.28838,0,615
34270,0.121920563,0.105409423,0,1670,0.81147,0.454,2.93266,0,0
34271,0.121920563,0.105066446,0.054504389,1831,0.89464,0.491,3.19544,0,149276
34272,0.121920563,0.053884093,0.038589135,177,0.56757,0.148,2.41852,0,140773
34273,0.121920563,0.038639621,0.025914366,463,0.60247,0.061,2.91063,0,11834
34274,0.122674711,0.040931886,0.026730476,474,0.58201,0.057,2.84415,0,13950
34275,0.145299145,0.035601926,0.050703767,371,0.44588,0.076,2.20254,0,24278
34276,0.17717446,0.035601926,0.033038027,225,0.25615,0.103,1.30813,0,3230
34277,0.190447461,0.032063775,0.062877528,163,0.17435,0.115,0.92256,0,14794
34278,0.190447461,0.037068274,0.049252297,163,0.17435,0.115,0.92256,0,13949
34279,0.190447461,0.038226662,0.106543252,181,0.18961,0.107,1.07177,0,646917
34280,0.190447461,0.032921199,0,242,0.24146,0.081,1.57833,0,0
34281,0.190447461,0,0,196,0.20289,0.1,1.20144,0,0
34282,0.190447461,0,0,164,0.17478,0.115,0.92673,0,0
34283,0.190447461,0,0.022074317,163,0.17435,0.115,0.92256,0,138091
34284,0.184263449,0.034657019,0.033101315,209,0.17092,0.096,1.29842,0,3128
34285,0.170387129,0.033071681,0.049376604,308,0.1635,0.055,2.10151,0,6658
34286,0.162946204,0,0,362,0.15949,0.032,2.53799,0,0
34287,0.162996481,0.060018991,0.032586145,450,0.2218,0.035,2.55682,0,12001
34288,0.162996481,0.051507808,0.115837869,678,0.38565,0.044,2.58626,0,30653
34289,0.162996481,0.035181958,0.233981419,583,0.31775,0.039,2.57419,0,841836
